Iteration, Input-matrix-size, Best-size-produced-by-the-hillClimbing-algorithm, Best-size-produced-by-the-simmulatedAnnealing-algorithm, Total-runtime-by-the-hillClimbing-algorithm, Total-runtime-by-the-simmulatedAnnealing-algorithm, Absolute-Difference-in-total-runtimes-by-both-algorithms
0, 10000, 134, 144, 0.032, 0.685, 0.653
1, 10000, 135, 117, 0.032, 0.596, 0.564
2, 10000, 153, 129, 0.039, 0.587, 0.548
3, 10000, 153, 153, 0.035, 0.655, 0.62
4, 10000, 135, 153, 0.043, 0.621, 0.578
5, 10000, 135, 117, 0.029, 0.552, 0.523
6, 10000, 153, 141, 0.037, 0.588, 0.551
7, 10000, 153, 153, 0.036, 0.617, 0.581
8, 10000, 135, 144, 0.03, 0.59, 0.56
9, 10000, 132, 117, 0.027, 0.585, 0.558
10, 10000, 134, 129, 0.028, 0.576, 0.548
11, 10000, 135, 117, 0.035, 0.563, 0.528
12, 10000, 135, 153, 0.034, 0.63, 0.596
13, 10000, 134, 129, 0.027, 0.571, 0.544
14, 10000, 153, 153, 0.03, 0.606, 0.576
15, 10000, 132, 129, 0.032, 0.57, 0.538
16, 10000, 153, 153, 0.037, 0.614, 0.577
17, 10000, 135, 141, 0.029, 0.589, 0.56
18, 10000, 132, 153, 0.029, 0.615, 0.586
19, 10000, 135, 153, 0.03, 0.677, 0.647
20, 10000, 132, 6486500, 0.031, 0.829, 0.798
21, 10000, 135, 144, 0.032, 0.633, 0.601
22, 10000, 135, 141, 0.037, 0.7, 0.663
23, 10000, 134, 129, 0.025, 0.578, 0.553
24, 10000, 153, 153, 0.036, 0.626, 0.59
25, 10000, 135, 153, 0.036, 0.611, 0.575
26, 10000, 135, 153, 0.034, 0.651, 0.617
27, 10000, 135, 144, 0.04, 0.603, 0.563
28, 10000, 132, 117, 0.028, 0.539, 0.511
29, 10000, 153, 141, 0.03, 0.581, 0.551
30, 10000, 132, 129, 0.03, 0.55, 0.52
31, 10000, 153, 153, 0.036, 0.601, 0.565
32, 10000, 132, 141, 0.028, 0.611, 0.583
33, 10000, 135, 6486500, 0.036, 0.84, 0.804
34, 10000, 135, 129, 0.036, 0.577, 0.541
35, 10000, 132, 117, 0.03, 0.599, 0.569
36, 10000, 132, 153, 0.031, 0.645, 0.614
37, 10000, 134, 153, 0.025, 0.675, 0.65
38, 10000, 135, 129, 0.035, 0.582, 0.547
39, 10000, 153, 117, 0.036, 0.581, 0.545
40, 10000, 135, 6486500, 0.039, 0.81, 0.771
41, 10000, 135, 153, 0.04, 0.658, 0.618
42, 10000, 132, 141, 0.029, 0.643, 0.614
43, 10000, 132, 153, 0.029, 0.629, 0.6
44, 10000, 153, 141, 0.038, 0.577, 0.539
45, 10000, 134, 129, 0.025, 0.546, 0.521
46, 10000, 153, 153, 0.035, 0.607, 0.572
47, 10000, 153, 117, 0.032, 0.537, 0.505
48, 10000, 135, 153, 0.033, 0.606, 0.573
49, 10000, 134, 117, 0.025, 0.54, 0.515
50, 10000, 153, 6486500, 0.029, 0.785, 0.756
51, 10000, 153, 129, 0.036, 0.551, 0.515
52, 10000, 153, 129, 0.035, 0.553, 0.518
53, 10000, 134, 144, 0.029, 0.577, 0.548
54, 10000, 135, 6486500, 0.034, 0.817, 0.783
55, 10000, 135, 117, 0.029, 0.569, 0.54
56, 10000, 132, 117, 0.029, 0.56, 0.531
57, 10000, 135, 144, 0.034, 0.657, 0.623
58, 10000, 135, 144, 0.049, 0.628, 0.579
59, 10000, 135, 153, 0.034, 0.7, 0.666
60, 10000, 153, 153, 0.037, 0.672, 0.635
61, 10000, 132, 141, 0.03, 0.62, 0.59
62, 10000, 132, 117, 0.028, 0.58, 0.552
63, 10000, 134, 153, 0.027, 0.621, 0.594
64, 10000, 132, 144, 0.03, 0.589, 0.559
65, 10000, 153, 153, 0.037, 0.597, 0.56
66, 10000, 135, 153, 0.035, 0.657, 0.622
67, 10000, 134, 129, 0.025, 0.564, 0.539
68, 10000, 135, 117, 0.033, 0.572, 0.539
69, 10000, 135, 129, 0.034, 0.553, 0.519
70, 10000, 132, 129, 0.031, 0.57, 0.539
71, 10000, 153, 153, 0.032, 0.621, 0.589
72, 10000, 134, 129, 0.025, 0.557, 0.532
73, 10000, 132, 153, 0.028, 0.63, 0.602
74, 10000, 132, 117, 0.029, 0.587, 0.558
75, 10000, 153, 117, 0.032, 0.562, 0.53
76, 10000, 134, 141, 0.026, 0.614, 0.588
77, 10000, 134, 129, 0.027, 0.554, 0.527
78, 10000, 153, 117, 0.038, 0.547, 0.509
79, 10000, 153, 141, 0.041, 0.621, 0.58
80, 10000, 134, 153, 0.03, 0.638, 0.608
81, 10000, 135, 153, 0.037, 0.606, 0.569
82, 10000, 153, 6486500, 0.032, 0.758, 0.726
83, 10000, 134, 129, 0.026, 0.545, 0.519
84, 10000, 135, 153, 0.029, 0.624, 0.595
85, 10000, 153, 117, 0.031, 0.536, 0.505
86, 10000, 132, 153, 0.036, 0.586, 0.55
87, 10000, 134, 129, 0.024, 0.544, 0.52
88, 10000, 134, 129, 0.024, 0.557, 0.533
89, 10000, 153, 129, 0.037, 0.549, 0.512
90, 10000, 132, 117, 0.03, 0.54, 0.51
91, 10000, 135, 153, 0.034, 0.672, 0.638
92, 10000, 135, 117, 0.036, 0.581, 0.545
93, 10000, 132, 117, 0.028, 0.592, 0.564
94, 10000, 135, 129, 0.031, 0.62, 0.589
95, 10000, 135, 153, 0.039, 0.645, 0.606
96, 10000, 135, 144, 0.034, 0.662, 0.628
97, 10000, 132, 153, 0.032, 0.644, 0.612
98, 10000, 135, 117, 0.037, 0.596, 0.559
99, 10000, 135, 153, 0.032, 0.659, 0.627
100, 10000, 135, 153, 0.037, 0.674, 0.637
